"date","sum_mts_swe_m3"
2011-03-27,23196.4144714286
2011-04-03,1397.1225
2011-04-10,5919.4657
2011-04-17,17.0151428571429
2011-04-24,0.227657142857143
2011-10-30,0
2011-11-06,52983.0266142857
2011-11-13,37612.4124
2011-11-20,39574.4286857143
2011-11-27,39869.5705714286
2011-12-04,128949.541871429
2011-12-11,125233.599471429
2011-12-18,187580.138242857
2011-12-25,170153.097571429
2012-01-01,120415.168414286
2012-01-08,108637.269514286
2012-01-15,124671.1004
2012-01-22,183486.912457143
2012-01-29,188408.854971429
2012-02-05,202544.035471429
2012-02-12,274585.9443
2012-02-19,292249.432742857
2012-02-26,266944.138757143
2012-03-04,260778.236828571
2012-03-11,215697.086142857
2012-03-18,124073.729085714
2012-03-25,23234.667
2012-04-01,1595.01812857143
2012-04-08,196.5165
2012-04-15,22357.3184857143
2012-04-22,0
2012-04-29,0
2012-10-28,0
2012-11-04,3.648
2012-11-11,29534.5642428571
2012-11-18,39.7892571428571
2012-11-25,0
2012-12-02,0
2012-12-09,13297.2297
2012-12-16,183303.593433333
2012-12-23,258703.401857143
2012-12-30,317548.719814286
2013-01-06,300593.542442857
2013-01-13,313173.685014286
2013-01-20,276521.0321
2013-01-27,355919.158114286
2013-02-03,423407.142885714
2013-02-10,572497.068771429
2013-02-17,539319.314757143
2013-02-24,652650.592
2013-03-03,571548.711685714
2013-03-10,408346.090442857
2013-03-17,229307.319528571
2013-03-24,165281.536928571
2013-03-31,54617.5061142857
2013-04-07,42678.6119714286
2013-04-14,2912.89278571429
2013-04-21,180.5073
2013-04-28,0
2013-10-27,2216.92305
2013-11-03,3700.60268571429
2013-11-10,57.9823714285714
2013-11-17,14132.4282
2013-11-24,190958.162514286
2013-12-01,98395.2720142857
2013-12-08,162083.819742857
2013-12-15,132661.982842857
2013-12-22,129759.124714286
2013-12-29,91161.5118428571
2014-01-05,55674.2251285714
2014-01-12,46479.9647142857
2014-01-19,32038.2705857143
2014-01-26,24772.7481571429
2014-02-02,66340.6423571429
2014-02-09,60511.5182142857
2014-02-16,11011.0879285714
2014-02-23,8359.15538571429
2014-03-02,95788.8115857143
2014-03-09,24951.2346857143
2014-03-16,4105.35145714286
2014-03-23,8899.45492857143
2014-03-30,12096.6028857143
2014-04-06,2628.81977142857
2014-04-13,426.539485714286
2014-04-20,0
2014-04-27,22490.806825
2014-10-26,0
2014-11-02,3.87702857142857
2014-11-09,9.09188571428571
2014-11-16,18029.9450571429
2014-11-23,1559.93262857143
2014-11-30,2024.14757142857
2014-12-07,1969.56822857143
2014-12-14,46711.3456714286
2014-12-21,50081.3521142857
2014-12-28,66107.0518285714
2015-01-04,97419.8005714286
2015-01-11,170287.1507
2015-01-18,203336.476628571
2015-01-25,158228.563828571
2015-02-01,222778.907271429
2015-02-08,49033.3649142857
2015-02-15,13923.8840571429
2015-02-22,119044.0552
2015-03-01,281463.8391
2015-03-08,147442.377885714
2015-03-15,47122.5829571429
2015-03-22,1807.37537142857
2015-03-29,0
2015-04-05,0
2015-04-12,859.621114285714
2015-04-19,0.654428571428571
2015-04-26,25104.52126
2015-11-01,26766.0270428571
2015-11-08,31840.9673428571
2015-11-15,76427.3723
2015-11-22,32774.8260285714
2015-11-29,10636.3621285714
2015-12-06,8263.18158571429
2015-12-13,137623.633414286
2015-12-20,259531.5562
2015-12-27,403330.453171429
2016-01-03,481790.183842857
2016-01-10,603766.498
2016-01-17,591755.804671429
