Date,SoilMoisture
"1981-06-28:12 AM",0.1522
"1981-06-29:12 AM",0.1534
"1981-06-30:12 AM",0.1542
"1981-07-01:12 AM",0.2067
"1981-07-02:12 AM",0.2144
"1981-07-03:12 AM",0.2013
"1981-07-04:12 AM",0.1904
"1981-07-05:12 AM",0.1812
"1981-07-06:12 AM",0.1757
"1981-07-07:12 AM",0.173
"1981-07-08:12 AM",0.1712
"1981-07-09:12 AM",0.1786
"1981-07-10:12 AM",0.2768
"1981-07-11:12 AM",0.1972
"1981-07-12:12 AM",0.2308
"1981-07-13:12 AM",0.2366
"1981-07-14:12 AM",0.2511
"1981-07-15:12 AM",0.2579
"1981-07-16:12 AM",0.2507
"1981-07-17:12 AM",0.2343
"1981-07-18:12 AM",0.234
"1981-07-19:12 AM",0.2172
"1981-07-20:12 AM",0.2032
"1981-07-21:12 AM",0.1929
"1981-07-22:12 AM",0.1851
"1981-07-23:12 AM",0.2484
"1981-07-24:12 AM",0.283
"1981-07-25:12 AM",0.1886
"1981-07-26:12 AM",0.1866
"1981-07-27:12 AM",0.1758
"1981-07-28:12 AM",0.1724
"1981-07-29:12 AM",0.1688
"1981-07-30:12 AM",0.1655
"1981-07-31:12 AM",0.1636
"1981-08-01:12 AM",0.1654
"1981-08-02:12 AM",0.1625
"1981-08-03:12 AM",0.1608
"1981-08-04:12 AM",0.1585
"1981-08-05:12 AM",0.1562
"1981-08-06:12 AM",0.1546
"1981-08-07:12 AM",0.1527
"1981-08-08:12 AM",0.1517
"1981-08-09:12 AM",0.1512
"1981-08-10:12 AM",0.1718
"1981-08-11:12 AM",0.1849
"1981-08-12:12 AM",0.1672
"1981-08-13:12 AM",0.1688
"1981-08-14:12 AM",0.1649
"1981-08-15:12 AM",0.1628
"1981-08-16:12 AM",0.1616
"1981-08-17:12 AM",0.16
"1981-08-18:12 AM",0.1621
"1981-08-19:12 AM",0.1597
"1981-08-20:12 AM",0.1577
"1981-08-21:12 AM",0.1561
"1981-08-22:12 AM",0.1553
"1981-08-23:12 AM",0.1555
"1981-08-24:12 AM",0.1543
"1981-08-25:12 AM",0.1532
"1981-08-26:12 AM",0.1523
"1981-08-27:12 AM",0.1517
"1981-08-28:12 AM",0.1575
"1981-08-29:12 AM",0.1756
"1981-08-30:12 AM",0.1661
"1981-08-31:12 AM",0.1742
"1981-09-01:12 AM",0.2148
"1981-09-02:12 AM",0.1992
"1981-09-03:12 AM",0.1973
"1981-09-04:12 AM",0.19
"1981-09-05:12 AM",0.2107
"1981-09-06:12 AM",0.1982
"1981-09-07:12 AM",0.1934
"1981-09-08:12 AM",0.1885
"1981-09-09:12 AM",0.2049
"1981-09-10:12 AM",0.1978
"1981-09-11:12 AM",0.1935
"1981-09-12:12 AM",0.1892
"1981-09-13:12 AM",0.1841
"1981-09-14:12 AM",0.1803
"1981-09-15:12 AM",0.1898
"1981-09-16:12 AM",0.191
"1981-09-17:12 AM",0.1902
"1981-09-18:12 AM",0.1893
"1981-09-19:12 AM",0.1849
"1981-09-20:12 AM",0.18
"1981-09-21:12 AM",0.1755
"1981-09-22:12 AM",0.1722
"1981-09-23:12 AM",0.1848
"1981-09-24:12 AM",0.2423
"1981-09-25:12 AM",0.1872
"1981-09-26:12 AM",0.1813
"1981-09-27:12 AM",0.1783
"1981-09-28:12 AM",0.1745
"1981-09-29:12 AM",0.1723
"1981-09-30:12 AM",0.1678
"1981-10-01:12 AM",0.1735
"1981-10-02:12 AM",0.2874
"1981-10-03:12 AM",0.2758
"1981-10-04:12 AM",0.25
"1981-10-05:12 AM",0.2338
"1981-10-06:12 AM",0.2247
"1981-10-07:12 AM",0.2158
"1981-10-08:12 AM",0.207
"1981-10-09:12 AM",0.2001
"1981-10-10:12 AM",0.1945
"1981-10-11:12 AM",0.191
"1981-10-12:12 AM",0.1982
"1981-10-13:12 AM",0.2028
"1981-10-14:12 AM",0.1933
"1981-10-15:12 AM",0.1919
"1981-10-16:12 AM",0.1856
"1981-10-17:12 AM",0.1824
"1981-10-18:12 AM",0.1798
"1981-10-19:12 AM",0.1775
"1981-10-20:12 AM",0.1757
"1981-10-21:12 AM",0.1732
"1981-10-22:12 AM",0.1709
"1981-10-23:12 AM",0.1689
"1981-10-24:12 AM",0.167
"1981-10-25:12 AM",0.164
"1981-10-26:12 AM",0.1623
"1981-10-27:12 AM",0.161
"1981-10-28:12 AM",0.162
"1981-10-29:12 AM",0.1705
"1981-10-30:12 AM",0.1562
"1981-10-31:12 AM",0.1551
"1981-11-01:12 AM",0.1544
"1981-11-02:12 AM",0.1537
"1981-11-03:12 AM",0.1535
"1981-11-04:12 AM",0.1531
"1981-11-05:12 AM",0.1527
"1981-11-06:12 AM",0.1561
"1981-11-07:12 AM",0.1722
"1981-11-08:12 AM",0.1812
"1981-11-09:12 AM",0.1807
"1981-11-10:12 AM",0.1797
"1981-11-11:12 AM",0.1788
"1981-11-12:12 AM",0.1775
"1981-11-13:12 AM",0.1757
"1981-11-14:12 AM",0.1734
"1981-11-15:12 AM",0.1709
"1981-11-16:12 AM",0.1692
"1981-11-17:12 AM",0.1675
"1981-11-18:12 AM",0.1655
"1981-11-19:12 AM",0.1638
"1981-11-20:12 AM",0.1631
"1981-11-21:12 AM",0.1623
"1981-11-22:12 AM",0.1614
"1981-11-23:12 AM",0.1602
"1981-11-24:12 AM",0.1588
"1981-11-25:12 AM",0.1567
"1981-11-26:12 AM",0.1559
"1981-11-27:12 AM",0.1549
"1981-11-28:12 AM",0.2025
"1981-11-29:12 AM",0.3044
"1981-11-30:12 AM",0.2998
"1981-12-01:12 AM",0.3135
"1981-12-02:12 AM",0.3194
"1981-12-03:12 AM",0.3401
"1981-12-04:12 AM",0.3476
"1981-12-05:12 AM",0.3383
