Date,SoilMoisture
"1981-06-28:12 AM",0.1407
"1981-06-29:12 AM",0.1404
"1981-06-30:12 AM",0.1416
"1981-07-01:12 AM",0.1756
"1981-07-02:12 AM",0.1907
"1981-07-03:12 AM",0.184
"1981-07-04:12 AM",0.1775
"1981-07-05:12 AM",0.1713
"1981-07-06:12 AM",0.1668
"1981-07-07:12 AM",0.1649
"1981-07-08:12 AM",0.1674
"1981-07-09:12 AM",0.1659
"1981-07-10:12 AM",0.2068
"1981-07-11:12 AM",0.2011
"1981-07-12:12 AM",0.2238
"1981-07-13:12 AM",0.2223
"1981-07-14:12 AM",0.2188
"1981-07-15:12 AM",0.2294
"1981-07-16:12 AM",0.2448
"1981-07-17:12 AM",0.2314
"1981-07-18:12 AM",0.2304
"1981-07-19:12 AM",0.2165
"1981-07-20:12 AM",0.2047
"1981-07-21:12 AM",0.1939
"1981-07-22:12 AM",0.1861
"1981-07-23:12 AM",0.2303
"1981-07-24:12 AM",0.2712
"1981-07-25:12 AM",0.194
"1981-07-26:12 AM",0.2188
"1981-07-27:12 AM",0.1903
"1981-07-28:12 AM",0.1853
"1981-07-29:12 AM",0.1805
"1981-07-30:12 AM",0.1761
"1981-07-31:12 AM",0.1727
"1981-08-01:12 AM",0.1698
"1981-08-02:12 AM",0.1673
"1981-08-03:12 AM",0.1649
"1981-08-04:12 AM",0.1622
"1981-08-05:12 AM",0.1601
"1981-08-06:12 AM",0.158
"1981-08-07:12 AM",0.1555
"1981-08-08:12 AM",0.1534
"1981-08-09:12 AM",0.1521
"1981-08-10:12 AM",0.1665
"1981-08-11:12 AM",0.1766
"1981-08-12:12 AM",0.164
"1981-08-13:12 AM",0.1627
"1981-08-14:12 AM",0.1612
"1981-08-15:12 AM",0.1596
"1981-08-16:12 AM",0.1586
"1981-08-17:12 AM",0.1573
"1981-08-18:12 AM",0.1563
"1981-08-19:12 AM",0.1656
"1981-08-20:12 AM",0.1603
"1981-08-21:12 AM",0.1586
"1981-08-22:12 AM",0.1578
"1981-08-23:12 AM",0.1642
"1981-08-24:12 AM",0.1618
"1981-08-25:12 AM",0.1608
"1981-08-26:12 AM",0.1589
"1981-08-27:12 AM",0.1571
"1981-08-28:12 AM",0.1606
"1981-08-29:12 AM",0.1632
"1981-08-30:12 AM",0.162
"1981-08-31:12 AM",0.1744
"1981-09-01:12 AM",0.1865
"1981-09-02:12 AM",0.1815
"1981-09-03:12 AM",0.181
"1981-09-04:12 AM",0.1755
"1981-09-05:12 AM",0.1889
"1981-09-06:12 AM",0.2114
"1981-09-07:12 AM",0.2105
"1981-09-08:12 AM",0.2027
"1981-09-09:12 AM",0.2079
"1981-09-10:12 AM",0.2019
"1981-09-11:12 AM",0.1976
"1981-09-12:12 AM",0.1933
"1981-09-13:12 AM",0.1881
"1981-09-14:12 AM",0.1841
"1981-09-15:12 AM",0.1832
"1981-09-16:12 AM",0.1835
"1981-09-17:12 AM",0.1801
"1981-09-18:12 AM",0.177
"1981-09-19:12 AM",0.1739
"1981-09-20:12 AM",0.171
"1981-09-21:12 AM",0.1684
"1981-09-22:12 AM",0.1666
"1981-09-23:12 AM",0.1845
"1981-09-24:12 AM",0.1786
"1981-09-25:12 AM",0.1756
"1981-09-26:12 AM",0.1712
"1981-09-27:12 AM",0.1693
"1981-09-28:12 AM",0.1664
"1981-09-29:12 AM",0.1637
"1981-09-30:12 AM",0.1611
"1981-10-01:12 AM",0.1605
"1981-10-02:12 AM",0.2639
"1981-10-03:12 AM",0.2621
"1981-10-04:12 AM",0.2498
"1981-10-05:12 AM",0.2325
"1981-10-06:12 AM",0.2236
"1981-10-07:12 AM",0.2131
"1981-10-08:12 AM",0.2058
"1981-10-09:12 AM",0.1995
"1981-10-10:12 AM",0.1943
"1981-10-11:12 AM",0.1888
"1981-10-12:12 AM",0.1888
"1981-10-13:12 AM",0.2002
"1981-10-14:12 AM",0.191
"1981-10-15:12 AM",0.1873
"1981-10-16:12 AM",0.1847
"1981-10-17:12 AM",0.179
"1981-10-18:12 AM",0.177
"1981-10-19:12 AM",0.1752
"1981-10-20:12 AM",0.1734
"1981-10-21:12 AM",0.1716
"1981-10-22:12 AM",0.1697
"1981-10-23:12 AM",0.168
"1981-10-24:12 AM",0.1662
"1981-10-25:12 AM",0.1637
"1981-10-26:12 AM",0.162
"1981-10-27:12 AM",0.1608
"1981-10-28:12 AM",0.161
"1981-10-29:12 AM",0.1594
"1981-10-30:12 AM",0.156
"1981-10-31:12 AM",0.1549
"1981-11-01:12 AM",0.1542
"1981-11-02:12 AM",0.1537
"1981-11-03:12 AM",0.1534
"1981-11-04:12 AM",0.1531
"1981-11-05:12 AM",0.1528
"1981-11-06:12 AM",0.1552
"1981-11-07:12 AM",0.1681
"1981-11-08:12 AM",0.1771
"1981-11-09:12 AM",0.1783
"1981-11-10:12 AM",0.1773
"1981-11-11:12 AM",0.1762
"1981-11-12:12 AM",0.1748
"1981-11-13:12 AM",0.1734
"1981-11-14:12 AM",0.1712
"1981-11-15:12 AM",0.1688
"1981-11-16:12 AM",0.1672
"1981-11-17:12 AM",0.1656
"1981-11-18:12 AM",0.1634
"1981-11-19:12 AM",0.1618
"1981-11-20:12 AM",0.1614
"1981-11-21:12 AM",0.1609
"1981-11-22:12 AM",0.16
"1981-11-23:12 AM",0.1588
"1981-11-24:12 AM",0.1574
"1981-11-25:12 AM",0.1552
"1981-11-26:12 AM",0.1559
"1981-11-27:12 AM",0.1535
"1981-11-28:12 AM",0.1716
"1981-11-29:12 AM",0.2635
"1981-11-30:12 AM",0.2852
"1981-12-01:12 AM",0.2924
"1981-12-02:12 AM",0.2993
"1981-12-03:12 AM",0.3208
"1981-12-04:12 AM",0.3258
"1981-12-05:12 AM",0.3185
"1981-12-06:12 AM",0.303
"1981-12-07:12 AM",0.2838
"1981-12-08:12 AM",0.2754
"1981-12-09:12 AM",0.2673
"1981-12-10:12 AM",0.257
"1981-12-11:12 AM",0.2524
"1981-12-12:12 AM",0.2406
"1981-12-13:12 AM",0.2363
"1981-12-14:12 AM",0.2317
"1981-12-15:12 AM",0.2292
"1981-12-16:12 AM",0.2241
"1981-12-17:12 AM",0.2213
"1981-12-18:12 AM",0.2206
"1981-12-19:12 AM",0.2183
"1981-12-20:12 AM",0.2138
"1981-12-21:12 AM",0.2077
"1981-12-22:12 AM",0.2174
"1981-12-23:12 AM",0.2017
"1981-12-24:12 AM",0.2021
"1981-12-25:12 AM",0.2021
"1981-12-26:12 AM",0.2008
"1981-12-27:12 AM",0.1964
"1981-12-28:12 AM",0.1932
"1981-12-29:12 AM",0.1929
"1981-12-30:12 AM",0.1904
"1981-12-31:12 AM",0.1891
"1982-01-01:12 AM",0.2173
"1982-01-02:12 AM",0.2565
"1982-01-03:12 AM",0.2663
"1982-01-04:12 AM",0.2669
"1982-01-05:12 AM",0.2706
"1982-01-06:12 AM",0.3295
"1982-01-07:12 AM",0.3217
"1982-01-08:12 AM",0.3192
"1982-01-09:12 AM",0.3224
"1982-01-10:12 AM",0.3305
"1982-01-11:12 AM",0.3472
"1982-01-12:12 AM",0.4079
"1982-01-13:12 AM",0.3757
"1982-01-14:12 AM",0.3821
"1982-01-15:12 AM",0.3963
"1982-01-16:12 AM",0.416
"1982-01-17:12 AM",0.431
"1982-01-18:12 AM",0.4282
"1982-01-19:12 AM",0.4178
"1982-01-20:12 AM",0.3952
"1982-01-21:12 AM",0.3791
"1982-01-22:12 AM",0.3802
"1982-01-23:12 AM",0.3783
"1982-01-24:12 AM",0.3836
"1982-01-25:12 AM",0.3987
"1982-01-26:12 AM",0.3975
"1982-01-27:12 AM",0.3649
"1982-01-28:12 AM",0.3471
"1982-01-29:12 AM",0.3468
"1982-01-30:12 AM",0.3277
"1982-01-31:12 AM",0.3235
"1982-02-01:12 AM",0.3195
"1982-02-02:12 AM",0.3185
"1982-02-03:12 AM",0.3178
"1982-02-04:12 AM",0.3243
"1982-02-05:12 AM",0.3237
"1982-02-06:12 AM",0.324
"1982-02-07:12 AM",0.3368
"1982-02-08:12 AM",0.3686
"1982-02-09:12 AM",0.3683
"1982-02-10:12 AM",0.3775
"1982-02-11:12 AM",0.4422
"1982-02-12:12 AM",0.4636
"1982-02-13:12 AM",0.4639
"1982-02-14:12 AM",0.464
"1982-02-15:12 AM",0.464
"1982-02-16:12 AM",0.464
"1982-02-17:12 AM",0.464
"1982-02-18:12 AM",0.464
