"waterYear","mean_pdsi"
2004,-2.13832222222222
2005,0.889572222222222
2006,-3.46661666666667
2007,-0.574783333333333
2008,0.916444444444444
2009,-0.771405555555556
2010,-0.111633333333333
2011,-1.63481111111111
2012,-1.08262777777778
2013,-2.93546111111111
2014,-1.68503888888889
2015,-1.3458
2016,-0.431722222222222
2017,-0.0281111111111111
2018,-3.15551111111111
2019,-0.810316666666667
