"waterYear","mean_wint_swe","wint_anom","anomaly_perc"
2004,0.271831017665131,-28.3845662730684,-0.990514124476037
2005,0.875666705069124,-27.7807305856645,-0.969442540310108
2006,2.58340413850486,-26.0729931522287,-0.909848955809241
2007,4.12076207487057,-24.535635215863,-0.856200972052999
2008,41.432243612656,12.7758463219225,0.445828768784333
2009,24.4608956835637,-4.19550160716983,-0.146407155254178
2010,121.975207840502,93.3188105497682,3.25647392458312
2011,26.1248071351766,-2.53159015555693,-0.0883429319419561
2012,24.7345082326041,-3.92188905812945,-0.136859111015942
2013,39.8439434434204,11.1875461526868,0.39040309356349
2014,9.19589884408602,-19.4604984466476,-0.679097872953498
2015,11.8536419111623,-16.8027553795713,-0.586352681012161
2016,29.9915561852676,1.335158894534,0.0465920011154278
2017,43.813036702509,15.1566394117754,0.528909452852836
2018,1.82000486047107,-26.8363924302625,-0.93648870644812
2019,75.4049482642089,46.7485509734753,1.63134781037504
