year,doy_snowmelt,max_doy,median_doy
2001,66.9043,121,65
2002,43.7818,89,41
2003,1.4004,2,1
2004,1.1134,4,1
2005,51.4787,129,41
2006,45.5782,105,33
2007,59.4859,129,65
2008,70.4797,105,73
2009,65.727,113,65
2010,85.1291,129,89
2011,51.2971,193,57
2012,62.2847,97,65
2013,57.4444,105,73
2014,33.8116,129,25
2015,55.74431,117,73
