"date","waterYear","depth_mm"
2005-01-09,2005,5.5677
2005-01-10,2005,1.1794
2005-01-11,2005,0.4552
2005-01-12,2005,1.5921
2005-01-13,2005,8.4913
2005-01-14,2005,1.1773
2005-01-15,2005,0.3683
2005-01-16,2005,0.1247
2005-01-17,2005,0.0607
2005-01-18,2005,0.0259
2005-01-19,2005,0.0071
2005-01-20,2005,0
2005-01-21,2005,0
2005-01-22,2005,0
2005-01-23,2005,0
2005-01-24,2005,0
2005-01-25,2005,0
2005-01-26,2005,0
2005-01-27,2005,0
2005-01-28,2005,0
2005-01-29,2005,0
2005-01-30,2005,0
2005-01-31,2005,0.1369
2005-02-01,2005,0.0224
2005-02-02,2005,0
2005-02-03,2005,0
2005-02-04,2005,0
2005-02-05,2005,0
2005-02-06,2005,0
2005-02-07,2005,0
2005-02-08,2005,1.3846
2005-02-09,2005,16.4107
2005-02-10,2005,6.6137
2005-02-11,2005,1.8282
2005-02-12,2005,0.0236
2005-02-13,2005,0.0708
2005-02-14,2005,0.0283
2005-02-15,2005,0.0212
2005-02-16,2005,0.0212
2005-02-17,2005,0.0236
2005-02-18,2005,0.0212
2005-02-19,2005,0.0354
2005-02-20,2005,0.0377
2005-02-21,2005,0.1793
2005-02-22,2005,0.0448
2005-02-23,2005,0.0425
2005-02-24,2005,0.9364
2005-02-25,2005,0.5071
2005-02-26,2005,0.1203
2005-02-27,2005,0.1203
2005-02-28,2005,0.0543
2005-03-01,2005,0.0448
2005-03-02,2005,0.2005
2005-03-03,2005,0.0472
2005-03-04,2005,0.0401
2005-03-05,2005,0.0354
2005-03-06,2005,0.0259
2005-03-07,2005,0.0212
2005-03-08,2005,0.0024
2005-03-09,2005,0
2005-03-10,2005,0
2005-03-11,2005,0
2005-03-12,2005,0
2005-03-13,2005,0
2005-03-14,2005,0
2005-03-15,2005,0
2005-03-16,2005,0
2005-03-17,2005,0
2005-03-18,2005,0
2005-03-19,2005,0
2005-03-20,2005,0
2005-03-21,2005,3.7456
2005-03-22,2005,1.3657
2005-03-23,2005,0.2783
2005-03-24,2005,0
2005-03-25,2005,0.2335
2005-03-26,2005,1.4223
2005-03-27,2005,0.7524
2005-03-28,2005,0
2005-03-29,2005,0
2005-03-30,2005,0.1934
2005-03-31,2005,0.0118
2005-04-01,2005,0
2005-04-02,2005,0
2005-04-03,2005,0
2005-04-04,2005,0
2005-04-05,2005,0
2005-04-06,2005,0
2005-04-07,2005,0
2005-04-08,2005,0
2005-04-09,2005,0
2005-04-10,2005,0.934
2005-04-11,2005,0
2005-04-12,2005,0
2005-04-13,2005,0
2005-04-14,2005,0
2005-04-15,2005,0
2005-04-16,2005,0
2005-04-17,2005,0
2005-04-18,2005,0
2005-04-19,2005,0
2005-04-20,2005,0
2005-04-21,2005,0
