"DateTime","(mm) Snow Depth (SNODAS) at Navajo Mountain, 2013-11-02 to 2015-11-01"
"2013-11-02",0
"2013-11-03",0
"2013-11-04",0
"2013-11-05",0
"2013-11-06",0
"2013-11-07",0
"2013-11-08",0
"2013-11-09",0
"2013-11-10",0
"2013-11-11",0
"2013-11-12",0
"2013-11-13",0
"2013-11-14",0
"2013-11-15",0
"2013-11-16",0
"2013-11-17",0
"2013-11-18",0
"2013-11-19",0
"2013-11-20",0
"2013-11-21",0.0083
"2013-11-22",1.0309
"2013-11-23",28.4193
"2013-11-24",36.6662
"2013-11-25",55.6968
"2013-11-26",50.4925
"2013-11-27",45.7812
"2013-11-28",21.6618
"2013-11-29",20.34
"2013-11-30",19.8819
"2013-12-01",19.7855
"2013-12-02",18.6002
"2013-12-03",8.0062
"2013-12-04",4.1403
"2013-12-05",12.5554
"2013-12-06",10.2041
"2013-12-07",5.5722
"2013-12-08",31.0986
"2013-12-09",25.8463
"2013-12-10",20.9907
"2013-12-11",15.901
"2013-12-12",12.3063
"2013-12-13",8.8944
"2013-12-14",5.1492
"2013-12-15",2.3444
"2013-12-16",1.43
"2013-12-17",0.9478
"2013-12-18",0.7316
"2013-12-19",0.5155
"2013-12-20",0.4822
"2013-12-21",0.6069
"2013-12-22",1.2287
"2013-12-23",0.3575
"2013-12-24",0.266
"2013-12-25",0.1247
"2013-12-26",0
"2013-12-27",0
"2013-12-28",0
"2013-12-29",0
"2013-12-30",0
"2013-12-31",0
"2014-01-01",0
"2014-01-02",0
"2014-01-03",0
"2014-01-04",0
"2014-01-05",0
"2014-01-06",0
"2014-01-07",0
"2014-01-08",0
"2014-01-09",0
"2014-01-10",0
"2014-01-11",0
"2014-01-12",0
"2014-01-13",0
"2014-01-14",0
"2014-01-15",0
"2014-01-16",0
"2014-01-17",0
"2014-01-18",0
"2014-01-19",0
"2014-01-20",0
"2014-01-21",0
"2014-01-22",0
"2014-01-23",0
"2014-01-24",0
"2014-01-25",0
"2014-01-26",0
"2014-01-27",0
"2014-01-28",0
"2014-01-29",0
"2014-01-30",0
"2014-01-31",0
"2014-02-01",3.0411
"2014-02-02",10.4295
"2014-02-03",6.246
"2014-02-04",20.9636
"2014-02-05",17.404
"2014-02-06",12.5881
"2014-02-07",21.5064
"2014-02-08",48.1574
"2014-02-09",18.0918
"2014-02-10",3.7911
"2014-02-11",2.6438
"2014-02-12",1.6295
"2014-02-13",0.1663
"2014-02-14",0
"2014-02-15",0
"2014-02-16",0
"2014-02-17",0
"2014-02-18",0
"2014-02-19",0
"2014-02-20",0
"2014-02-21",0
"2014-02-22",0
"2014-02-23",0
"2014-02-24",0
"2014-02-25",0
"2014-02-26",0
"2014-02-27",0
"2014-02-28",0.4905
"2014-03-01",0.3326
"2014-03-02",2.4858
"2014-03-03",1.9704
"2014-03-04",1.6378
"2014-03-05",1.0475
"2014-03-06",0.4323
"2014-03-07",0.2162
"2014-03-08",0.5071
"2014-03-09",0.2827
"2014-03-10",0.1663
"2014-03-11",0
"2014-03-12",0
"2014-03-13",0
"2014-03-14",0
"2014-03-15",0
"2014-03-16",0
"2014-03-17",0
"2014-03-18",0
"2014-03-19",0
"2014-03-20",0
"2014-03-21",0
"2014-03-22",0
"2014-03-23",0
"2014-03-24",0
"2014-03-25",0
"2014-03-26",0
"2014-03-27",1.006
"2014-03-28",0.424
