"DateTime","(mm) Snow Depth (SNODAS) at Navajo Mountain, 2011-11-02 to 2013-11-01"
"2011-11-02",0
"2011-11-03",0
"2011-11-04",0
"2011-11-05",0
"2011-11-06",11.5229
"2011-11-07",11.2982
"2011-11-08",73.3118
"2011-11-09",73.5288
"2011-11-10",61.4225
"2011-11-11",51.9317
"2011-11-12",42.4381
"2011-11-13",20.2108
"2011-11-14",16.2701
"2011-11-15",14.2165
"2011-11-16",12.6452
"2011-11-17",11.1987
"2011-11-18",9.7271
"2011-11-19",7.0251
"2011-11-20",5.936
"2011-11-21",5.0963
"2011-11-22",6.1854
"2011-11-23",5.6866
"2011-11-24",3.7246
"2011-11-25",2.569
"2011-11-26",1.8124
"2011-11-27",0.7316
"2011-11-28",0.1247
"2011-11-29",0
"2011-11-30",0
"2011-12-01",0
"2011-12-02",2.4276
"2011-12-03",2.7851
"2011-12-04",4.4023
"2011-12-05",2.6882
"2011-12-06",2.4537
"2011-12-07",0.6284
"2011-12-08",33.6256
"2011-12-09",28.6197
"2011-12-10",24.605
"2011-12-11",21.5821
"2011-12-12",18.4698
"2011-12-13",76.2857
"2011-12-14",80.7922
"2011-12-15",81.4994
"2011-12-16",75.4999
"2011-12-17",65.1673
"2011-12-18",56.1367
"2011-12-19",53.4443
"2011-12-20",47.6589
"2011-12-21",18.1285
"2011-12-22",25.1667
"2011-12-23",23.874
"2011-12-24",15.5387
"2011-12-25",10.7616
"2011-12-26",8.6332
"2011-12-27",6.9456
"2011-12-28",5.0418
"2011-12-29",3.5511
"2011-12-30",0.6727
"2011-12-31",0.0333
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",56.5424
"2012-01-05",46.1048
"2012-01-06",41.0074
"2012-01-07",35.8312
"2012-01-08",31.6672
"2012-01-09",25.2489
"2012-01-10",20.8593
"2012-01-11",18.9221
"2012-01-12",15.1061
"2012-01-13",12.2379
"2012-01-14",10.2176
"2012-01-15",9.0454
"2012-01-16",7.1914
"2012-01-17",7.7567
"2012-01-18",7.1
"2012-01-19",5.7032
"2012-01-20",2.9264
"2012-01-21",2.2946
"2012-01-22",3.4419
"2012-01-23",2.3861
"2012-01-24",48.4211
"2012-01-25",47.4115
"2012-01-26",31.5868
"2012-01-27",7.5833
"2012-01-28",5.088
"2012-01-29",3.7578
"2012-01-30",2.9264
"2012-01-31",2.0868
"2012-02-01",1.7126
"2012-02-02",1.6046
"2012-02-03",23.692
"2012-02-04",17.3999
"2012-02-05",11.1606
"2012-02-06",8.4133
"2012-02-07",7.1983
