"DateTime","(mm) Snow Depth (SNODAS) at Black Mesa, 2014-11-02 to 2017-11-01"
"2014-11-02",0
"2014-11-03",0.052
"2014-11-04",0
"2014-11-05",0
"2014-11-06",0
"2014-11-07",0
"2014-11-08",0
"2014-11-09",0
"2014-11-10",0
"2014-11-11",0
"2014-11-12",0
"2014-11-13",0
"2014-11-14",0
"2014-11-15",0
"2014-11-16",0
"2014-11-17",19.5303
"2014-11-18",12.3547
"2014-11-19",6.9658
"2014-11-20",1.7971
"2014-11-21",0.0525
"2014-11-22",0.0016
"2014-11-23",0
"2014-11-24",0.1498
"2014-11-25",0
"2014-11-26",0
"2014-11-27",0
"2014-11-28",0
"2014-11-29",0
"2014-11-30",0
"2014-12-01",0
"2014-12-02",0
"2014-12-03",0
"2014-12-04",0
"2014-12-05",0
"2014-12-06",0
"2014-12-07",0
"2014-12-08",0
"2014-12-09",0
"2014-12-10",0
"2014-12-11",0
"2014-12-12",0
"2014-12-13",0
"2014-12-14",8.4667
"2014-12-15",7.52
"2014-12-16",6.6057
"2014-12-17",2.3672
"2014-12-18",43.1709
"2014-12-19",57.0554
"2014-12-20",54.1454
"2014-12-21",51.716
"2014-12-22",30.6966
"2014-12-23",0
"2014-12-24",0
"2014-12-25",0
"2014-12-26",12.2769
"2014-12-27",8.8871
"2014-12-28",6.8981
"2014-12-29",2.9485
"2014-12-30",0.0041
"2014-12-31",0.0001
"2015-01-01",12.6713
"2015-01-02",48.0162
"2015-01-03",43.3523
"2015-01-04",38.4848
"2015-01-05",35.3163
"2015-01-06",32.6732
"2015-01-07",18.4867
"2015-01-08",3.0581
"2015-01-09",2.7132
"2015-01-10",0.6217
"2015-01-11",0.1213
"2015-01-12",0.6808
"2015-01-13",3.6735
"2015-01-14",40.5054
"2015-01-15",62.7611
"2015-01-16",57.8602
"2015-01-17",51.0108
"2015-01-18",38.3386
"2015-01-19",32.1965
"2015-01-20",8.9157
"2015-01-21",6.904
"2015-01-22",5.0074
"2015-01-23",3.4509
"2015-01-24",1.5515
"2015-01-25",0.5415
"2015-01-26",0.0159
"2015-01-27",0
"2015-01-28",0
"2015-01-29",0
"2015-01-30",0.1854
"2015-01-31",87.025
"2015-02-01",111.7898
"2015-02-02",100.916
"2015-02-03",68.5006
"2015-02-04",21.0725
"2015-02-05",0.2029
"2015-02-06",0
"2015-02-07",0
"2015-02-08",0
"2015-02-09",0
"2015-02-10",0
"2015-02-11",0
"2015-02-12",0
"2015-02-13",0
