"DateTime","(mm) Snow Depth (SNODAS) at Black Mesa, 2008-11-02 to 2011-11-01"
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0
"2008-11-08",0
"2008-11-09",0
"2008-11-10",0
"2008-11-11",1.0248
"2008-11-12",0.0287
"2008-11-13",0
"2008-11-14",0
"2008-11-15",0
"2008-11-16",0
"2008-11-17",0
"2008-11-18",0
"2008-11-19",0
"2008-11-20",0
"2008-11-21",0
"2008-11-22",0
"2008-11-23",0
"2008-11-24",0
"2008-11-25",0
"2008-11-26",0
"2008-11-27",0
"2008-11-28",0.0063
"2008-11-29",0.0068
"2008-11-30",0
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",0
"2008-12-06",0
"2008-12-07",0
"2008-12-08",0
"2008-12-09",11.8227
"2008-12-10",0.8317
"2008-12-11",0
"2008-12-12",0
"2008-12-13",0
"2008-12-14",0.3263
"2008-12-15",57.2095
"2008-12-16",113.9218
"2008-12-17",251.2402
"2008-12-18",265.7481
"2008-12-19",277.6391
"2008-12-20",256.3884
"2008-12-21",236.7122
"2008-12-22",222.5371
"2008-12-23",242.6201
"2008-12-24",316.8858
"2008-12-25",302.0407
"2008-12-26",336.5487
"2008-12-27",342.4014
"2008-12-28",328.1222
"2008-12-29",317.4031
"2008-12-30",306.4637
"2008-12-31",297.8074
"2009-01-01",279.7302
"2009-01-02",256.3501
"2009-01-03",191.3837
"2009-01-04",189.7098
"2009-01-05",197.2539
"2009-01-06",200.3394
"2009-01-07",193.3793
"2009-01-08",179.5482
"2009-01-09",159.2094
"2009-01-10",127.4673
"2009-01-11",117.6672
"2009-01-12",106.7287
"2009-01-13",95.009
"2009-01-14",88.1167
"2009-01-15",79.787
"2009-01-16",76.2769
"2009-01-17",74.4455
"2009-01-18",72.1597
"2009-01-19",70.0181
"2009-01-20",67.5803
"2009-01-21",61.6504
"2009-01-22",58.8732
"2009-01-23",48.4091
"2009-01-24",39.908
"2009-01-25",31.1813
"2009-01-26",24.739
"2009-01-27",32.4335
"2009-01-28",27.5314
"2009-01-29",25.7214
"2009-01-30",25.0512
"2009-01-31",24.3492
"2009-02-01",23.8184
"2009-02-02",23.0323
"2009-02-03",22.6289
"2009-02-04",21.8468
"2009-02-05",20.9471
"2009-02-06",15.5361
"2009-02-07",11.4799
"2009-02-08",8.0164
"2009-02-09",34.3258
"2009-02-10",151.0825
"2009-02-11",204.5902
"2009-02-12",182.7416
"2009-02-13",166.1602
"2009-02-14",152.2783
"2009-02-15",152.9026
"2009-02-16",138.2889
"2009-02-17",110.3296
"2009-02-18",97.787
"2009-02-19",89.3684
"2009-02-20",79.7698
"2009-02-21",69.8771
"2009-02-22",58.4681
"2009-02-23",18.1699
"2009-02-24",4.3857
"2009-02-25",2.0119
"2009-02-26",0.0111
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",0
"2009-03-08",26.3265
"2009-03-09",12.1791
"2009-03-10",0.0239
"2009-03-11",1.1263
"2009-03-12",0.0028
"2009-03-13",0
"2009-03-14",0
"2009-03-15",0
"2009-03-16",0
"2009-03-17",0
"2009-03-18",0
"2009-03-19",0
"2009-03-20",0
"2009-03-21",0
"2009-03-22",0
"2009-03-23",0.1003
"2009-03-24",0
"2009-03-25",0
"2009-03-26",0
"2009-03-27",47.5944
"2009-03-28",26.7383
"2009-03-29",3.7357
"2009-03-30",0.0129
"2009-03-31",29.021
"2009-04-01",1.3948
"2009-04-02",0
"2009-04-03",0
"2009-04-04",19.4481
"2009-04-05",30.6668
"2009-04-06",16.7893
"2009-04-07",0
"2009-04-08",0
"2009-04-09",0
"2009-04-10",0
"2009-04-11",0
"2009-04-12",0
"2009-04-13",0
"2009-04-14",0
"2009-04-15",0
"2009-04-16",7.062
"2009-04-17",9.5142
"2009-04-18",0.0132
"2009-04-19",0
"2009-04-20",0
"2009-04-21",0
"2009-04-22",0
"2009-04-23",0
"2009-04-24",0
"2009-04-25",0
"2009-04-26",0
"2009-04-27",0
"2009-04-28",0
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",0
"2009-05-06",0
"2009-05-07",0
"2009-05-08",0
"2009-05-09",0
"2009-05-10",0
"2009-05-11",0
"2009-05-12",0
"2009-05-13",0
"2009-05-14",0
"2009-05-15",0
"2009-05-16",0
"2009-05-17",0
"2009-05-18",0
"2009-05-19",0
"2009-05-20",0
"2009-05-21",0
"2009-05-22",0
"2009-05-23",0
"2009-05-24",0
"2009-05-25",0
"2009-05-26",0
"2009-05-27",0
"2009-05-28",0
"2009-05-29",0
"2009-05-30",0
"2009-05-31",0
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",0
"2009-06-06",0
"2009-06-07",0
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",0
"2009-06-12",0
"2009-06-13",0
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0
"2009-06-19",0
"2009-06-20",0
"2009-06-21",0
"2009-06-22",0
"2009-06-23",0
"2009-06-24",0
"2009-06-25",0
"2009-06-26",0
"2009-06-27",0
"2009-06-28",0
"2009-06-29",0
"2009-06-30",0
"2009-07-01",0
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0
"2009-07-05",0
"2009-07-06",0
"2009-07-07",0
"2009-07-08",0
"2009-07-09",0
"2009-07-10",0
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",0
"2009-07-15",0
"2009-07-16",0
"2009-07-17",0
"2009-07-18",0
"2009-07-19",0
"2009-07-20",0
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",0
"2009-07-25",0
"2009-07-26",0
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0
"2009-07-30",0
"2009-07-31",0
"2009-08-01",0
"2009-08-02",0
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",0
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0
"2009-08-11",0
"2009-08-12",0
"2009-08-13",0
"2009-08-14",0
"2009-08-15",0
"2009-08-16",0
"2009-08-17",0
"2009-08-18",0
"2009-08-19",0
"2009-08-21",0
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",0
"2009-08-27",0
"2009-08-28",0
"2009-08-29",0
"2009-08-30",0
"2009-08-31",0
"2009-09-01",0
"2009-09-02",0
"2009-09-03",0
"2009-09-04",0
"2009-09-05",0
"2009-09-06",0
"2009-09-07",0
"2009-09-08",0
"2009-09-09",0
"2009-09-10",0
"2009-09-11",0
"2009-09-12",0
"2009-09-13",0
"2009-09-14",0
